అ	a
ముగ్గురిపై	m u g g u r i p ai
ముగ్గురిలో	m u g g u r i l oo
ముగ్గురు	m u g g u r u
ముగ్గురుంటారు	m u g g u r u q tx aa r u
ముగ్గురూ	m u g g u r uu
ముగ్గురే	m u g g u r ee
ముగ్గురం	m u g g u r a q
ముగ్గుల	m u g g u l a
ముగ్గులు	m u g g u l u
ముగ్దులయ్యారు	m u g d u l a y y aa r u
ముచ్చట	m u c c a tx a
ముచ్చటించారు	m u c c a tx i q c aa r u
ముచ్చటేసి	m u c c a tx ee s i
ముచ్చట్లాడుకుంటుంటే	m u c c a tx l aa dx u k u q tx u q tx ee
ముచ్చట్లు	m u c c a tx l u
ముచ్చర్ల	m u c c a r l a
ముచ్చలు	m u c c a l u
ముజఫరాబాద్	m u j a ph a r aa b aa d
ముటుకూరులో	m u tx u k uu r u l oo
ముట్టడిస్తామని	m u tx tx a dx i s t aa m a n i
ముట్టడించారు	m u tx tx a dx i q c aa r u
ముట్టిందని	m u tx tx i q d a n i
ముట్టుకొని	m u tx tx u k o n i
ముట్టుకోకూడదు	m u tx tx u k oo k uu dx a d u
ముట్టుకోవడానికి	m u tx tx u k oo w a dx aa n i k i
ముట్టుపు	m u tx tx u p u
ముఠా	m u txh aa
ముఠాగా	m u txh aa g aa
ముఠాల	m u txh aa l a
ముఠాలు	m u txh aa l u
ముఠాలో	m u txh aa l oo
ముడి	m u dx i
ముడిచెర్ల	m u dx i c e r l a
ముడిపడడం	m u dx i p a dx a dx a q
ముడిపడి	m u dx i p a dx i
ముడీ	m u dx ii
ముడు	m u dx u
ముడుపుల	m u dx u p u l a
ముడుపులు	m u dx u p u l u
ముడుపులుగా	m u dx u p u l u g aa
ముతలయ్యి	m u t a l a y y i
ముతాలిక్	m u t aa l i k
ముత్తాతల	m u t t aa t a l a
ముత్తాతలు	m u t t aa t a l u
ముత్తుకూరు	m u t t u k uu r u
ముత్తైదువులకి	m u t t ai d u w u l a k i
ముత్యాల	m u t y aa l a
ముత్యాలపల్లి	m u t y aa l a p a l l i
ముత్రగాడ	m u t r a g aa dx a
ముత్రదేహాన్ని	m u t r a d ee h aa n n i
ముత్రాసుపల్లె	m u t r aa s u p a l l e
ముదిమాణిక్యం	m u d i m aa nx i k y a q
ముదింపు	m u d i q p u
ముదుకు	m u d u k u
ముదురు	m u d u r u
ముద్దపప్పు	m u d d a p a p p u
ముద్దయిన	m u d d a y i n a
ముద్దరబోయిన	m u d d a r a b oo y i n a
ముద్దలు	m u d d a l u
ముద్దాయి	m u d d aa y i
ముద్దు	m u d d u
ముద్దుకృష్ణమ	m u d d u k rq sx nx a m a
ముద్దుకృష్ణమనాయుడు	m u d d u k rq sx nx a m a n aa y u dx u
ముద్దుగా	m u d d u g aa
ముద్దుగుందో	m u d d u g u q d oo
ముద్దులు	m u d d u l u
ముద్ర	m u d r a
ముద్రకు	m u d r a k u
ముద్రగడ	m u d r a g a dx a
ముద్రగడకు	m u d r a g a dx a k u
ముద్రగడతో	m u d r a g a dx a t oo
ముద్రగడను	m u d r a g a dx a n u
ముద్రగడ్డ	m u d r a g a dx dx a
ముద్రగాడ	m u d r a g aa dx a
ముద్రణకు	m u d r a nx a k u
ముద్రపడినవారిని	m u d r a p a dx i n a w aa r i n i
ముద్రపడ్డారని	m u d r a p a dx dx aa r a n i
ముద్రవేస్తూ	m u d r a w ee s t uu
ముద్రిస్తున్న	m u d r i s t u n n a
ముద్రించామన్నారు	m u d r i q c aa m a n n aa r u
ముద్రించారని	m u d r i q c aa r a n i
ముద్రించాలని	m u d r i q c aa l a n i
ముద్రించాల్సి	m u d r i q c aa l s i
మునగదు	m u n a g a d u
మునాఫ్	m u n aa ph
ముని	m u n i
మునికోటి	m u n i k oo tx i
మునిగాయి	m u n i g aa y i
మునిగి	m u n i g i
మునిగితేలుతున్న	m u n i g i t ee l u t u n n a
మునిగిన	m u n i g i n a
మునిగిపోతున్నాయన్నారు	m u n i g i p oo t u n n aa y a n n aa r u
మునిగిపోతుండగా	m u n i g i p oo t u q dx a g aa
మునిగిపోతే	m u n i g i p oo t ee
మునిగిపోయాయి	m u n i g i p oo y aa y i
మునిగిపోయారు	m u n i g i p oo y aa r u
మునిగిపోయింది	m u n i g i p oo y i q d i
మునిగిపోయే	m u n i g i p oo y ee
మునిగిపోవడం	m u n i g i p oo w a dx a q
మునిగిపోవడంతో	m u n i g i p oo w a dx a q t oo
మునిగింది	m u n i g i q d i
మునిమడుగు	m u n i m a dx u g u
మునుపటి	m u n u p a tx i
మునులు	m u n u l u
మునెమ్మ	m u n e m m a
మున్తలను	m u n t a l a n u
మున్నాబాయ్	m u n n aa b aa y
మున్నీరు	m u n n ii r u
మున్నంగి	m u n n a q g i
మున్పిపాలిటీ	m u n p i p aa l i tx ii
మున్ముందు	m u n m u q d u
మున్సిపల్	m u n s i p a l
మున్సిపాలిటీలతో	m u n s i p aa l i tx ii l a t oo
మున్సిపాలిటీలు	m u n s i p aa l i tx ii l u
మున్సిపాలిటీల్లో	m u n s i p aa l i tx ii l l oo
మున్సిపాల్టీలు	m u n s i p aa l tx ii l u
ముపై	m u p ai
ముప్పతిప్పలు	m u p p a t i p p a l u
ముప్పయ్	m u p p a y
ముప్పాళ్ల	m u p p aa lx l a
ముప్పాళ్ళ	m u p p aa lx lx a
ముప్పిడి	m u p p i dx i
ముప్పు	m u p p u
ముప్పుకోసం	m u p p u k oo s a q
ముప్పులేకపోయినా	m u p p u l ee k a p oo y i n aa
ముప్పేట	m u p p ee tx a
ముప్పై	m u p p ai
ముప్పైమంది	m u p p ai m a q d i
ముప్ఫై	m u p ph ai
ముఫ్తార్	m u ph t aa r
ముబారక్	m u b aa r a k
ముభారక్	m u bh aa r a k
ముమ్మర	m u m m a r a
ముమ్మరం	m u m m a r a q
ముమ్మరంగా	m u m m a r a q g aa
ముమ్మాటికీ	m u m m aa tx i k ii
ముమ్మిడివరం	m u m m i dx i w a r a q
ముయ్యరు	m u y y a r u
మురచాయి	m u r a c aa y i
మురదారిదొడ్డి	m u r a d aa r i d o dx dx i
మురదుకు	m u r a d u k u
మురద్	m u r a d
మురపునకు	m u r a p u n a k u
మురమళ్ల	m u r a m a lx l a
మురళి	m u r a lx i
మురళికృష్ణ	m u r a lx i k rq sx nx a
మురళిని	m u r a lx i n i
మురళీ	m u r a lx ii
మురళీకృష్ణ	m u r a lx ii k rq sx nx a
మురళీధర్	m u r a lx ii dh a r
మురళీని	m u r a lx ii n i
మురళీమోహన్	m u r a lx ii m oo h a n
మురారి	m u r aa r i
మురికి	m u r i k i
మురిపించే	m u r i p i q c ee
మురిసి	m u r i s i
మురుగునీటి	m u r u g u n ii tx i
ములాయం	m u l aa y a q
ములుగుకు	m u l u g u k u
ముల్	m u l
ముల్కత్	m u l k a t
ముల్లకట్ట	m u l l a k a tx tx a
ముల్లా	m u l l aa
ముళ్ల	m u lx l a
ముళ్లతుంపల్లో	m u lx l a t u q p a l l oo
ముళ్ళు	m u lx lx u
మువ్వన్నెల	m u w w a n n e l a
ముషాహిద్	m u sx aa h i d
ముషికం	m u sx i k a q
ముషీరాబాద్	m u sx ii r aa b aa d
ముష్కరుడు	m u sx k a r u dx u
ముష్కరులు	m u sx k a r u l u
ముసఫ్ఫా	m u s a ph ph aa
ముసలావిడ	m u s a l aa w i dx a
ముసలోల్లను	m u s a l oo l l a n u
ముసాయిదా	m u s aa y i d aa
ముసాయిదాను	m u s aa y i d aa n u
ముసిముసి	m u s i m u s i
ముసివేయడంతో	m u s i w ee y a dx a q t oo
ముసుగు	m u s u g u
ముసుగులు	m u s u g u l u
ముసుగులో	m u s u g u l oo
ముసుదాస్	m u s u d aa s
ముసునూరు	m u s u n uu r u
ముసునూరులో	m u s u n uu r u l oo
ముసురుమిల్లి	m u s u r u m i l l i
ముసేసినారు	m u s ee s i n aa r u
ముస్తాబు	m u s t aa b u
ముస్లిమీన్	m u s l i m ii n
ముస్లిమ్స్	m u s l i m s
ముస్లిం	m u s l i q
ముస్లింలతో	m u s l i q l a t oo
ముస్లింలను	m u s l i q l a n u
ముస్లింలు	m u s l i q l u
ముస్లీం	m u s l ii q
ముస్లీంల	m u s l ii q l a
ముహమ్మద్	m u h a m m a d
ముహుర్తంగా	m u h u r t a q g aa
ముహూర్తానికి	m u h uu r t aa n i k i
ముహూర్తం	m u h uu r t a q
ముంగిస	m u q g i s a
ముంచి	m u q c i
ముంచిందన్నారు	m u q c i q d a n n aa r u
ముంచు	m u q c u
ముంచుకొస్తున్న	m u q c u k o s t u n n a
ముంచెతున్నాయి	m u q c e t u n n aa y i
ముంచెత్తడానికి	m u q c e t t a dx aa n i k i
ముంచెత్తాడు	m u q c e t t aa dx u
ముంచెత్తారు	m u q c e t t aa r u
ముంచెత్తింది	m u q c e t t i q d i
ముంతాజ్	m u q t aa j
ముందడుగు	m u q d a dx u g u
ముందడుగునడిపిస్తున్న	m u q d a dx u g u n a dx i p i s t u n n a
ముందడుగేనన్నారు	m u q d a dx u g ee n a n n aa r u
ముందడుగేసింది	m u q d a dx u g ee s i q d i
ముందన్నారు	m u q d a n n aa r u
ముందర	m u q d a r a
ముందరగా	m u q d a r a g aa
ముందస్తు	m u q d a s t u
ముందస్తుగా	m u q d a s t u g aa
ముందు	m u q d u
ముందుకి	m u q d u k i
ముందుకు	m u q d u k u
ముందుకువెళతాయని	m u q d u k u w e lx a t aa y a n i
ముందుకుసాగారు	m u q d u k u s aa g aa r u
ముందుకెల్లగలిగింది	m u q d u k e l l a g a l i g i q d i
ముందుకెల్లుతున్నారు	m u q d u k e l l u t u n n aa r u
ముందుకెళ్తామని	m u q d u k e lx t aa m a n i
ముందుకెళ్తామన్నారు	m u q d u k e lx t aa m a n n aa r u
ముందుకెళ్తుంది	m u q d u k e lx t u q d i
ముందుకెళ్దామని	m u q d u k e lx d aa m a n i
ముందుకెళ్లారు	m u q d u k e lx l aa r u
ముందుకెళ్లాలని	m u q d u k e lx l aa l a n i
ముందుకెళ్లాలన్నారు	m u q d u k e lx l aa l a n n aa r u
ముందుకెళ్ళాలని	m u q d u k e lx lx aa l a n i
ముందుకెళ్ళాలి	m u q d u k e lx lx aa l i
ముందుకొచ్చాడు	m u q d u k o c c aa dx u
ముందుకొచ్చాయి	m u q d u k o c c aa y i
ముందుకొచ్చారని	m u q d u k o c c aa r a n i
ముందుకొచ్చి	m u q d u k o c c i
ముందుకొచ్చిందని	m u q d u k o c c i q d a n i
ముందుకొస్తున్నారనడంలో	m u q d u k o s t u n n aa r a n a dx a q l oo
ముందుకొస్తున్నారని	m u q d u k o s t u n n aa r a n i
ముందుగ	m u q d u g a
ముందుగా	m u q d u g aa
ముందుగానే	m u q d u g aa n ee
ముందున్న	m u q d u n n a
ముందున్నానని	m u q d u n n aa n a n i
ముందుబాహాటంలు	m u q d u b aa h aa tx a q l u
ముందుముందునే	m u q d u m u q d u n ee
ముందుస్తుగా	m u q d u s t u g aa
ముందుంచి	m u q d u q c i
ముందుంచుకొని	m u q d u q c u k o n i
ముందుంటానని	m u q d u q tx aa n a n i
ముందుంటున్నారని	m u q d u q tx u n n aa r a n i
ముందుండాలన్నారు	m u q d u q dx aa l a n n aa r u
ముందుండి	m u q d u q dx i
ముందుండే	m u q d u q dx ee
ముందూ	m u q d uu
ముందే	m u q d ee
ముందేం	m u q d ee q
ముందైతే	m u q d ai t ee
ముందంజ	m u q d a q j a
ముందంజలో	m u q d a q j a l oo
